Qty	Value	Device	Parts	GM	code
1		JP2E	JP1		
1		NMA	DC2		
1		VG32SP	J1		
5	1k	R-EU_R1206	R13, R29, R32, R35, R38	R1206 1K	-
1	2k	R-EU_R1206	R37		
3	2k2	R-EU_R1206	R33, R34, R36	R1206 2k2	900-197
2	4k7	R-EU_R1206	R27, R28	R1206 4K7 1%	900-248
2	6N137	6N137	OK1, OK2	6N137	523-009
1	8k2	R-EU_R1206	R25		
1	10M	R-EU_R1206	R39		
1	10R	R-EU_R1206	R7		
7	10k	R-EU_R1206	R8, R14, R15, R16, R17, R24, R26	R1206 10K 1%	900-179
1	10n	C-EUC0805	C13	CK 0805 10nF	-
2	10u/16V	C-EUC1206	C10, C16		
1	14.7456	XTAL	Q1		
5	22k	R-EU_R1206	R9, R10, R11, R12, R22	R1206 22K 1%	900-224
2	27p	C-EUC0805	C11, C12		
2	47k	R-EU_R1206	R19, R20	R1206 47K 1%	900-116
1	100k	R-EU_R1206	R23	R1206 100K 1%	900-002
18	100n	C-EUC1206	C2, C3, C4, C5, C6, C7, C8, C9, C14, C15, C17, C18, C19, C20, C21, C22, C23, C24	CK 1206 100nF	-
2	120R	R-EU_R1206	R3, R4	R1206 120R 1%	900-232
2	220k	R-EU_R1206	R18, R21	R1206 220k	900-275
2	330R	R-EU_R1206	R30, R31	R1206 330R 1%	900-310
4	560R	R-EU_R1206	R1, R2, R5, R6	R1206 560R 1%	900-202
1	1000u/35V	CPOL-EUE5-13X26-LR	C1		
1	ATMEGA644A	ATMEGA644A	IC1		
1	ATPROG-V	ATPROG-V	U1		
1	FT232RL	FT232RL	IC5	FT232RL	-
1	J10MM	J10MM	J2		
2	L-3P90-GREEN	L-3P90-GREEN	LED2, LED4	L-3P90-GREEN	511-347
1	L-3P90-RED	L-3P90-RED	LED3		
1	L-3P90-YELLOW	L-3P90-YELLOW	LED1	L-3P90-YELLOW	511-348
2	MAX481CSA	MAX481CSA	IC2, IC3	75176 SMD	959-001
1	MBRS340T3	MBRS340T3	D1	MBRS340T3	920-099
1	MEGA8-AI	MEGA8-AI	IC4	ATmega8-16AU	958-102
2	PC817	PC817	OK3, OK4	PC817	523-052
1	TL431AID	TL431-SMD	VR1		
1	TMH2405S	NMA	DC1		
